tree_genus_id,species,common_name
1,macrophyllum,Bigleaf Maple
1,negundo,Box Elder
1,rubrum,Red Maple
2,californica,California Buckeye
3,flexuosa,Peppermint
4,julibrissin,Mimosa
5,rhombifolia,White Alder
6,costata,Smooth Barked Apple
7,marina,Marina Strawberry Madrone
7,unedo,strawberry madrone
8,variegata,Orchid
9,acerifolius,Australian Flame Tree
9,populneus,Bottle Tree
10,decurrens,California Incense-Cedar
11,stricta,She Oak
12,fissilis,Brazilian Cedarwood
13,siliqua,Carob
14,microphyllum,Littleleaf Palo Verde
15,canadensis,Eastern Redbud
15,occidentalis,California Redbud
16,retusus,Chinese Fringe
17,pentadactylon,Monkeyhand Tree
18,speciosa,Silk Floss Tree
19,camphora,Camphor Tree
20,australasica,Caviar Lime
20,meyeri,Meyer Lemon
20,paradisi,Grapefruit
20,reticula,Clementine Mandarin
20,unshiu,Satsuma Mandarin
21,markhamii,Markham's Pink
22,macrocarpa,Monterey Cypress
23,virginiana,American Persimmon
25,japonica,Loquat
26,coralloides,Naked Coral Tree
28,ficifolia,Red Flowering Gum
28,stelluata,Black Sallee
29,auriculata,Broad leaf fig
30,angustifolia,Ash 'Raywood'
31,parviflora,Australian Willow
32,biloba,Maidenhair Tree
33,arbutifolia,Toyon
34,flavum,Sweetshade
35,mimosifolia,Jacaranda
36,californica,Southern California Walnut
37,bipinnata,Chinese Flame Tree
37,paniculata,Goldenrain Tree
38,patersonii,Primrose
39,nobilis,Grecian Laurel
40,styraciflua 'rotundiloba',Sweetgum
41,tulipfera,Tulip
42,conferta,Brisbane Box
43,floribundus asplenifolius,Catalina Ironwood
44,grandiflora,Southern Magnolia
44,soulangiana x,Alexandrina Saucer Magnolia
45,domestica,Granny Smith Apple
47,hildebrandtii,Bell Bean Tree
48,linariifolia,Cajeput Tree
48,quinquenervia,Paperbark Tree
49,excelsus,New Zealand Christmas Tree
50,alba,Mulberry
51,californica,Pacific Wax Myrtle
52,europaea,Olive
54,aculeata,Palo Verde
55,canariensis,Canary Island Pine
55,eldarica,Afgan Pine
55,torreyana,Torrey Pine
57,chinensis,Chinese Pistache
58,racemosa,California Sycamore
59,gracilior,Fern Pine
59,totara,Totara
60,trichocarpa,Black Cottonwood
61,ilicifolia,Hollyleaf Cherry
61,lyonii,Catalina Cherry
62,kawakamii,Evergreen Pear
63,agrifolia,Coast Live Oak
63,ilex,Holly Oak
63,lobata,Valley Oak
63,suber,Cork Oak
63,tomentella,Island Oak
63,virginiana,Southern Live Oak
64,saponaria,Soapbark Tree
65,californica,Coffeeberry
66,integrifolia,Lemonade Berry
66,lancea,African Sumac
67,japonica,Japanese pagoda tree
68,campanulata,African Tulip Tree
69,sinuatus,Firewheel Tree
70,impetiginosa,Pink Trumpet Tree
71,districhum,Bald cypress
71,mucronatum,Montezuma Cypress
72,tipu,Tipu
73,sinensis,Toona
75,americana,American Elm
75,parvifolia,Chinese Elm
76,californica,California Laurel
